GEOID,Median_Income
53033000101,69577
53033000102,89840
53033000201,88833
53033000202,138472
53033000300,135536
53033000402,128310
53033000403,65469
53033000404,45940
53033000500,216471
53033000601,100341
53033000602,116544
53033000700,95431
53033000800,151528
53033000900,132083
53033001000,153214
53033001100,155156
53033001201,49342
53033001202,96125
53033001300,115208
53033001400,133875
53033001500,193750
53033001600,236500
53033001701,134375
53033001702,122105
53033001800,130855
53033001900,141494
53033002000,150219
53033002100,150529
53033002200,196167
53033002400,176838
53033002500,178173
53033002600,190750
53033002700,212544
53033002800,139955
53033002900,175321
53033003000,182500
53033003100,191625
53033003201,131544
53033003202,175303
53033003301,131353
53033003302,153523
53033003400,186058
53033003500,151654
53033003601,111908
53033003602,110991
53033003800,183068
53033003900,226159
53033004000,120850
53033004101,250001
53033004102,240648
53033004201,195208
53033004202,190450
53033004301,119464
53033004302,38984
53033004401,120521
53033004402,53852
53033004500,191336
53033004600,164550
53033004701,102708
53033004702,118622
53033004703,166921
53033004800,167266
53033004901,123156
53033004902,121726
53033005000,116467
53033005100,161506
53033005201,100188
53033005202,49598
53033005303,37500
53033005304,17500
53033005305,24444
53033005306,43837
53033005307,42692
53033005401,146417
53033005402,115815
53033005600,240137
53033005700,185945
53033005801,143952
53033005803,172649
53033005804,104147
53033005901,150139
53033005902,182389
53033006000,160049
53033006100,133307
53033006200,250001
53033006300,225464
53033006400,232426
53033006500,173350
53033006600,120507
53033006701,129438
53033006702,131918
53033006703,129741
53033006800,153401
53033006900,183421
53033007001,73946
53033007002,110327
53033007101,122365
53033007102,129181
53033007201,101737
53033007202,174706
53033007203,137007
53033007301,145125
53033007302,205021
53033007303,164819
53033007403,106846
53033007404,94458
53033007405,98750
53033007406,73788
53033007501,84977
53033007502,109471
53033007503,93182
53033007600,128182
53033007700,182206
53033007800,205056
53033007901,75042
53033007902,115745
53033008002,124464
53033008003,127254
53033008004,178185
53033008101,111346
53033008102,157898
53033008200,132924
53033008300,94365
53033008401,96492
53033008402,85587
53033008500,61199
53033008600,75313
53033008700,166585
53033008800,145119
53033008900,102818
53033009000,78995
53033009100,39788
53033009200,35014
53033009300,124318
53033009400,95038
53033009500,143676
53033009600,148125
53033009701,119384
53033009702,162174
53033009801,100162
53033009802,125774
53033009900,127557
53033010001,89444
53033010002,114796
53033010101,50227
53033010102,120313
53033010200,197313
53033010301,150625
53033010302,125898
53033010401,131625
53033010402,112400
53033010501,113056
53033010502,124430
53033010601,144944
53033010602,108568
53033010701,132692
53033010702,113750
53033010800,155865
53033010900,79750
53033011001,51778
53033011002,94648
53033011101,89170
53033011102,120895
53033011200,109805
53033011300,112455
53033011401,93897
53033011402,118864
53033011500,128073
53033011601,168618
53033011602,156250
53033011700,93090
53033011801,98342
53033011802,-666666666
53033011901,119933
53033011902,142689
53033012000,120398
53033012100,179250
53033020100,166836
53033020200,119444
53033020301,88250
53033020302,99776
53033020401,102237
53033020402,121212
53033020500,134688
53033020600,166611
53033020700,88686
53033020800,173015
53033020900,101373
53033021000,116203
53033021100,126563
53033021300,132292
53033021400,159056
53033021500,198980
53033021600,142040
53033021701,183424
53033021702,73649
53033021802,159612
53033021803,131090
53033021804,132533
53033021903,97411
53033021904,180035
53033021905,136786
53033021906,157273
53033022001,116154
53033022003,142155
53033022005,134183
53033022006,139125
53033022101,174891
53033022102,186641
53033022201,132500
53033022203,142895
53033022204,146319
53033022205,126393
53033022300,204844
53033022401,147344
53033022402,143125
53033022501,217011
53033022502,155417
53033022603,155000
53033022604,226058
53033022605,121371
53033022606,165707
53033022701,184125
53033022702,236797
53033022703,245036
53033022802,168280
53033022803,175278
53033022804,107038
53033022805,163936
53033022901,188672
53033022902,211797
53033023000,184332
53033023100,206705
53033023201,116683
53033023202,99436
53033023300,180928
53033023401,171144
53033023403,172891
53033023404,193750
53033023500,157102
53033023601,163646
53033023603,134733
53033023604,125000
53033023701,215938
53033023702,138702
53033023801,140375
53033023805,170134
53033023806,168782
53033023807,200428
53033023808,150438
53033023901,173365
53033023902,250001
53033024001,171146
53033024002,166410
53033024100,250001
53033024200,250001
53033024301,113824
53033024302,250001
53033024400,132625
53033024500,250001
53033024601,250001
53033024602,250001
53033024701,152528
53033024703,213309
53033024704,180625
53033024800,134038
53033024901,219539
53033024902,242500
53033024904,250001
53033024905,240568
53033025001,167917
53033025005,155855
53033025006,186278
53033025007,140685
53033025008,250001
53033025101,128447
53033025103,139167
53033025104,190640
53033025201,126786
53033025202,120359
53033025302,58243
53033025303,83792
53033025304,130521
53033025401,74067
53033025402,101864
53033025500,78800
53033025601,92500
53033025602,167760
53033025702,139609
